year,spei
1979,-0.5274572583091492
1980,0.027024118130372695
1981,0.10224081424927284
1982,-0.4816990869817925
1983,-1.1308117308997216
1984,1.6135514197966803
1985,1.3756725229181148
1986,1.6819940348456268
1987,-0.4899275840284043
1988,0.19997464565267206
1989,1.5372745172579931
1990,0.616173256180789
1991,-0.9145799119186957
1992,-0.2007665463996309
1993,1.0094545207754513
1994,0.5236061193694729
1995,-1.121388414709108
1996,0.6141600975014031
1997,-2.1587791842947537
1998,0.06022261482267386
1999,-0.2891220067615408
2000,1.2344543533165788
2001,0.4316378985438711
2002,-0.3378315160928643
2003,0.582010420352467
2004,0.45220730773551693
2005,-1.5934238948092667
2006,-0.39913631114133374
2007,-0.40045899354406594
2008,-0.6128473558469637
2009,-0.7157820214608979
2010,-1.3647340665479288
2011,-0.4253162867367449
2012,-0.8978897000875212
2013,1.4872671410343914
2014,0.4650352561388252
2015,-1.8778395640728225
2016,0.15825061394163492
2017,-0.8209342543167378
2018,0.6267606182218892
2019,-0.058290505703415214
2020,-1.6696624056020448
2021,0.5925185308491941
2022,-0.008599184064895826
2023,-2.5380179402826486
