"","year","nino_6m"
"11","1854",-0.575594053333333
"23","1855",0.438848061
"35","1856",-1.45246411
"47","1857",0.058917995
"59","1858",-0.206527025
"71","1859",-0.040760445
"83","1860",-0.433950522833333
"95","1861",-0.57249794
"107","1862",-0.966001263333333
"119","1863",-0.418853488333333
"131","1864",-0.440755428333333
"143","1865",-0.3898894
"155","1866",-0.460843426
"167","1867",-0.57117047
"179","1868",-0.521381898333333
"191","1869",-1.24701557333333
"203","1870",-1.04115677666667
"215","1871",-0.00402195566666666
"227","1872",-0.739949008333333
"239","1873",-0.127266521666667
"251","1874",-0.797406625
"263","1875",-0.65893758
"275","1876",0.173938591666667
"287","1877",1.30697491
"299","1878",-0.965804673333333
"311","1879",-0.99145648
"323","1880",0.195204536666667
"335","1881",-0.112196844
"347","1882",-0.565914738233333
"359","1883",0.0562357355
"371","1884",0.352968494666667
"383","1885",0.623510403333333
"395","1886",-1.036626985
"407","1887",-0.0640809058333333
"419","1888",1.09020750666667
"431","1889",-1.28045715833333
"443","1890",-0.444350292166667
"455","1891",0.1330878225
"467","1892",-0.844655156666667
"479","1893",-0.8862368
"491","1894",-0.655644193333333
"503","1895",0.207884781666667
"515","1896",0.987734066666667
"527","1897",-0.483198858333333
"539","1898",-0.554411936666667
"551","1899",0.378502001666667
"563","1900",0.2269108305
"575","1901",-0.369014123333333
"587","1902",1.78675614
"599","1903",-0.654117493333333
"611","1904",0.455116216666667
"623","1905",1.31041172833333
"635","1906",-0.435669771666667
"647","1907",0.124823253333333
"659","1908",-0.281874468333333
"671","1909",-0.623858596666667
"683","1910",-0.677385461666667
"695","1911",0.900671235
"707","1912",-0.192763481666667
"719","1913",0.340888252666667
"731","1914",1.03923496
"743","1915",-0.404491701
"755","1916",-0.84883948
"767","1917",-1.03481324166667
"779","1918",0.86661333
"791","1919",0.104481229
"803","1920",0.211049936666667
"815","1921",0.3007909435
"827","1922",-0.722848516666667
"839","1923",0.560999918166667
"851","1924",-0.931372028333333
"863","1925",0.425734401666667
"875","1926",-0.452084776166667
"887","1927",-0.011375735
"899","1928",-0.0167304783333334
"911","1929",0.161934926666667
"923","1930",0.898960225
"935","1931",-0.400506081666667
"947","1932",-0.0165073826666667
"959","1933",-1.07267690833333
"971","1934",-0.209375126666667
"983","1935",-0.041387419
"995","1936",-0.243565125916667
"1007","1937",-0.0987284967116667
"1019","1938",-1.09253173333333
"1031","1939",0.0204194733333334
"1043","1940",0.5613316974
"1055","1941",0.284168292166667
"1067","1942",-1.36640179333333
"1079","1943",-0.313165203333333
"1091","1944",-0.638719906666667
"1103","1945",-1.04186504666667
"1115","1946",-0.833512766666667
"1127","1947",-0.518814931666667
"1139","1948",-0.721151938333333
"1151","1949",-0.590587701666667
"1163","1950",-0.448285688333333
"1175","1951",0.557232492333333
"1187","1952",-0.171473869166667
"1199","1953",0.44924254
"1211","1954",-0.64666362
"1223","1955",-0.922345373333333
"1235","1956",-0.405694466666667
"1247","1957",0.917384703333333
"1259","1958",0.159929788433333
"1271","1959",-0.35484006
"1283","1960",-0.0671206293333333
"1295","1961",-0.20002296805
"1307","1962",-0.361447189233333
"1319","1963",0.625992696666667
"1331","1964",-0.711545486666667
"1343","1965",1.278929075
"1355","1966",-0.0573521483333333
"1367","1967",-0.0487139333333333
"1379","1968",0.376776643333333
"1391","1969",0.266269011666667
"1403","1970",-0.659974173333333
"1415","1971",-0.54409387
"1427","1972",1.18823580333333
"1439","1973",-1.43373378333333
"1451","1974",-0.462789894
"1463","1975",-0.973872491666666
"1475","1976",0.495951168333333
"1487","1977",0.424486786666667
"1499","1978",-0.309675416666667
"1511","1979",0.037797925
"1523","1980",-0.0533491816666667
"1535","1981",-0.325063043833333
"1547","1982",1.14657229666667
"1559","1983",-0.5106335445
"1571","1984",-0.462403005
"1583","1985",-0.378567165
"1595","1986",0.431773546666667
"1607","1987",0.946693045
"1619","1988",-1.51698696666667
"1631","1989",-0.388915626666667
"1643","1990",0.103658376666667
"1655","1991",0.672844984333333
"1667","1992",0.0954619023333333
"1679","1993",0.204197541633333
"1691","1994",0.613056266
"1703","1995",-0.666676403333333
"1715","1996",-0.3619699395
"1727","1997",1.55320656666667
"1739","1998",-1.28496818333333
"1751","1999",-1.03833167666667
"1763","2000",-0.558766945
"1775","2001",-0.2325747485
"1787","2002",0.823899148333333
"1799","2003",-0.0551369476666667
"1811","2004",0.452432621666667
"1823","2005",-0.272462146
"1835","2006",0.207316859833333
"1847","2007",-0.934486205
"1859","2008",-0.440787051
"1871","2009",0.342857918333333
"1883","2010",-1.41202633333333
"1895","2011",-0.706042976666667
"1907","2012",0.0804780285
"1919","2013",-0.407240035
"1931","2014",-0.0741007166666667
"1943","2015",1.32926805833333
"1955","2016",-0.964720245
"1967","2017",-0.616881541666667
"1979","2018",0.146346772666667
"1991","2019",-0.0688871428333333
"2003","2020",-1.08218480833333
"2015","2021",-0.835803423333333
"2027","2022",-0.992510066666667
"2039","2023",0.67738943
