year,pet
1979,698.3927451958091
1980,688.4605760278345
1981,692.8042979592598
1982,692.305379648942
1983,695.9229781342488
1984,684.0081894813843
1985,676.4929902315096
1986,669.7700566585343
1987,696.4948298347223
1988,696.8786725026935
1989,683.4079735655181
1990,679.7031603124602
1991,688.4799270904706
1992,677.3761547762109
1993,679.3133500092616
1994,696.2948741399545
1995,714.4294288637867
1996,684.682731722085
1997,726.1253833020071
1998,702.7479083345439
1999,711.4167567208908
2000,697.0295535348629
2001,706.088712371906
2002,709.4833565508817
2003,704.2492996689541
2004,709.5437802529444
2005,737.1100606165786
2006,726.8312192855482
2007,730.0677029535459
2008,735.3522736541136
2009,730.8135996402652
2010,745.4049061000194
2011,734.3748085469156
2012,739.1959063798909
2013,711.6576899906461
2014,724.5080782465852
2015,754.8182246439861
2016,732.945603085587
2017,740.9936315739502
2018,713.8940919288889
2019,725.5763768320589
2020,751.1843145368002
2021,724.5241007085959
2022,743.482688383678
2023,787.0241307785203
